Girardia tigrina,planariid sp. A,turbellarian sp. A,paleonemertean sp. A,Prostoma graecense,Amphidelus sp. A,Teratocephalus sp. A,Dorylaimus sp. A,Actinolaiminae sp. A,mermithid sp. A,nematode sp. A,Chaetogaster limnaei,Dero digitata,Dero trifida,Nais communis / variabilis,Ophidonais serpentina,Paranais frici,Slavina appendiculata,Stylaria lacustris,Vejdovskyella intermedia,Aulodrilus limnobius,Aulodrilus pigueti,Aulodrilus japonicus,Bothrioneurum vejdovskyanum,Branchiura sowerbyi,Ilyodrilus frantzi,Ilyodrilus templetoni,Limnodrilus claparedianus,Limnodrilus hoffmeisteri,Limnodrilus udekemianus,Potamothrix bavaricus,Psammoryctides californianus,Quistadrilus multisetosus,Embolocephalus nikolskyi,Teneridrilus mastix,Tubificoides brownae,Tubificoides fraseri,Tubificoides heterochaetus,Varichaetadrilus angustipenis,enchytraeid sp. B,Sparganophilus eiseni,Altmanella freidris,Lumbriculus variegatus,Rhynchelmis rostrata,Mooreobdella microstoma,Boccardiella ligerica,Polydora cornuta,Pseudopolydora kempi,Streblospio benedicti,Marenzelleria neglecta,Heteromastus filiformis,Eteone lighti,Hediste limnicola,Alitta succinea,Manayunkia speciosa,Laonome calida,Herpetocypris brevicaudata,Isocypris sp. A,Candona sp. A,Cyprideis sp. A,Hyperacanthomysis longirostris,Neomysis mercedis,Balanus improvisus,Nippoleucon hinumensis,Sinelobus sp. A,Synidotea laevidorsalis,Asellus hilgendorfii,Caecidotea racovitzai,Gnorimosphaeroma insulare,Gnorimosphaeroma oregonensis,Uromunna sp. A,Ampelisca abdita,Monocorophium acherusicum,Sinocorophium alienense,Sinocorophium heteroceratum,Americorophium spinicorne,Americorophium stimpsoni,Grandidierella japonica,Crangonyx floridanus,Gammarus daiberi,Melita nitida,Hyalella sp. A,Palaemon macrodactylus,Crangon franciscorum,Rhithropanopeus harrisii,Stylurus olivaceus,Oxyethira sp. A,Procladius sp. A,Ablabesmyia sp. A,Chironomus attenuatus,Cryptochironomus sp. A,Cryptochironomus sp. B,Harnischia curtilamellata,Paracladopelma sp. A,Polypedilum sp. A,Psectrocladius sp. A,Fluminicola sp. A,Hydrobioidea sp. A,Hydrobioidea sp. D,Hydrobioidea sp. E,Gyraulus circumstriatus,Dilatata dilatatus,Helisoma anceps,Physa sp. A,Ferrissia californica,Melanoides tuberculata,Corbicula fluminea,Pisidium casertanum,Pisidium compressum,Limecola petalum,Mya arenaria,Potamocorbula amurensis
0,0,0,0,0,0,0,0,0,153.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1307.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14391.03,19974.36,0,0,0,0,0,6.41,0,12.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525.64,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.205,0,89.74499999999999,0,0,0,0,16.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5525.64,0,0,0,0,0,6.41,16.025,19.229999999999997,0,0,0,0,0,0,0,0,92.95,0,0,22.435000000000002,0,0,0,0,0,16.025,246.79500000000002,0,0,0,0,519.23,0,0,12.82,0,9.615,0,3.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.23,0,0,19.23,51.28,0
0,0,0,2.1366666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480.76666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41,0,0,811.9666666666667,0,2.1366666666666667,10.683333333333332,0,49.14333333333333,0,0,0,0,0,0,0,0,0,0,0,55.553333333333335,0,0,0,0,0,1638.8899999999999,2128.2033333333334,0,0,0,0,369.66,0,0,0,0,0,2.1366666666666667,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326.92,4433.76,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.205,0,1855.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41,0,0,0,0,0,0,9.615,0,0,0,0,0,0,0,0,0,6.41,0,0,0,0,0,0,0,0,0,0,0,0,38.459999999999994,2836.54,0,0,0,0,0,0,0,28.845,0,0,3.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.459999999999994,0,0,3.205,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.870000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.255,0,0,0,0,0,0,0,3.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.64,0,0
0,0,0,0,35.254999999999995,0,73.715,0,0,349.36,0,0,0,0,0,0,0,0,0,0,0,0,12.82,0,0,9.615,19.23,0,464.74,0,0,0,3.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.105,0,0,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9570.515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.28,0,0,0,0,0,0,0,0,0,0,0,0,2240.3849999999998,0,0,0,0,0
0,0,0,3.205,0,0,262.82,0,0,9.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012.8200000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41,0,0,0,0,0,0,0,0,0,0,0,96.155,0,0,0,0,0,0,0,0,0,23647.435,9618.59,0,0,0,0,0,6.41,0,96.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,961.5350000000001,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.36000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41,0,0,0,0,0,0,0,28.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.205,0,0,0,0,0,3.205,0,0,0,0,3.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.229999999999997,12.82,0
0,0,0,0,97.9842857142857,0,14.651428571428571,0,0,39.37571428571429,0,0,0,0,0,0,0,0,0,0,0,0,2.7471428571428573,0,0,16.482857142857142,0,0,249.08285714285714,0,0,0,4.578571428571428,0.9157142857142857,0,0,0,0,0,0,0,0,0,3.662857142857143,0,0,0,0,0,0,0,0,5.494285714285715,0,347.07,0,0,7.325714285714286,10.988571428571428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.86,2108.058571428571,0,0,0,0,0,0,0,0,0,0,0.9157142857142857,0,0,0,0,0,0,0,0.9157142857142857,0,0,0,0,0,0,0,0,0,0,2849.8157142857144,0,0,0,0,0
0,0,0,0,52.19857142857143,0,104.39571428571428,0,0,154.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.241428571428571,0,11.904285714285715,0,3947.802857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.567142857142857,0,0,0,0,0,0,132.78285714285715,0,0,0,0,0,0,0,0,0,0.9157142857142857,0,0,0,0,0,0,0,0,0,0,0,0,5669.412857142857,20597.07,0,0,0,0,0,0.9157142857142857,0,3.662857142857143,0,0,0,0,0,0.9157142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2315.017142857143,0,0,0,0,0
0,0,0,0,0,0,13.735714285714286,0,0,5.494285714285715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913.9171428571428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.23,0,0,0,0,0,0,0,0,0,0,0,0.9157142857142857,0,0,0,0,0,0,0,0,0,0.9157142857142857,280.21999999999997,1.8314285714285714,0,0,0,0,0.9157142857142857,2.7471428571428573,0.9157142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9157142857142857,0,0,22.892857142857142,2.7471428571428573,0
1.0683333333333334,0,0,0,82.26333333333334,0,15.490833333333333,0,0,10.149166666666666,0,0,0,0,0,0,0,2.1366666666666667,0,3.7391666666666667,0,0,17.094166666666666,0,0,57.69166666666667,11.751666666666667,0,599.3575,4.8075,0,0,35.255833333333335,3.7391666666666667,0,0,0,0,0,0,0,0,0,12.285833333333333,1.0683333333333334,0,0,0,0,0,0,0,57.69166666666666,0,366.9866666666667,0,0,2.1366666666666667,13.888333333333334,0,0,0,0,0,0,0,14.423333333333334,0,0.5341666666666667,0,0,0,0,0,0,308.225,2018.1625000000001,0,0,0,0,10.683333333333334,0,0,0,0.5341666666666667,0.5341666666666667,0.5341666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2063.568333333333,1.0683333333333334,0,0,0,0
0,0,0,5.8758333333333335,19.765,0,5.8758333333333335,0,0,106.83583333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.5341666666666667,0,5.341666666666667,0,3.7391666666666667,0,2111.6458333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5341666666666667,0,461.53833333333336,0,0,0,0,0,0,69.97833333333334,9.080833333333334,0,0,0,0,0,0,0,0,490.385,0,0,77.99166666666666,0,0,0,0,0,0,1.6025,0,0,7787.390833333333,940.1708333333333,8.546666666666667,0,1.0683333333333334,2.670833333333333,0,0.5341666666666667,0,9.615,0.5341666666666667,0,0,0,0,0.5341666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2691.775,0,0,0,0,0
0,0,0,0,0,0,1.0683333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752.6708333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0683333333333334,0,0,1.0683333333333334,0,55.02166666666667,0,0,0,0,0,0,0,0,0,0,0,0.5341666666666667,0,0,0,0,0,5.8758333333333335,0,0,0,2.1366666666666667,1.0683333333333334,2.6708333333333334,0,0,0,0,2.1366666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6708333333333334,0,0,64.635,393.6958333333333,0
1.6025,0,0,0,71.04583333333333,0,9.615,0,0,0,15.490833333333333,0,0,0,0,0,1.0683333333333334,2.1366666666666667,0,1.0683333333333334,0,0,51.281666666666666,0,1.0683333333333334,77.99166666666666,15.490833333333333,0,280.9825,498.39750000000004,0,0.5341666666666667,35.255,3.205,0,0,0,0,26.70916666666667,0,0,0,0.5341666666666667,4.273333333333333,4.273333333333333,0,0,0,0,0,0,0,73.7175,0,207.26416666666665,0,0,1.6025,3.7391666666666667,0,0,0,0,0,0,0,2.6708333333333334,0,0.5341666666666667,0,0,0,0,0,0,212.07166666666666,1276.7083333333333,0,0,0,0,35.255833333333335,0,0,0,0,0,3.205,0,1.0683333333333334,0,0,0,0.5341666666666667,0,0.5341666666666667,0,0,0,0,0,0,0,0.5341666666666667,0,0,3986.110833333333,4.8075,0,0,0,0
0,0,0,0,43.8025,0,0.5341666666666667,0,0,0,183.76,2.670833333333333,0,0,0,0,1.0683333333333334,0,0,2.1366666666666667,0,0,0,0,0,0,1.0683333333333334,0,1003.2049999999999,25.106666666666666,0,8.546666666666667,0,0,0,0,0,0,1755.8766666666668,2.1366666666666667,0,0,0,0.5341666666666667,0,214.20916666666668,0,0,0,0,0,0,80.66083333333333,4.273333333333333,0.5341666666666667,0,0,0,2.1366666666666667,0,0,0,13.355,0,0,0,0,0,0.5341666666666667,0,0,0,0,0,0,1951.9225000000001,10219.550833333333,0,0,0,0,1.6025,0,0,3.205,0,0,0.5341666666666667,0,0,1.0683333333333334,0.5341666666666667,0.5341666666666667,0.5341666666666667,0,1.0683333333333334,0,0,0,0,0,0,0,0,0,0,2159.7233333333334,0,0,0,0,0
0,0,0,1.6025,0.5341666666666667,0,9.080833333333334,0,0,0,7.4783333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694.445,0,0,0,0,0,0,0,0,0,2.6708333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.25083333333333,0,0,0,1.0683333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7391666666666667,4473.2908333333335,0.5341666666666667,0,0,0,0,0,1.0683333333333334,1.0683333333333334,0,0,1.0683333333333334,0,0.5341666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41,0,0,3.205,0,0
1.7481818181818183,0,0,0,29.136363636363637,0,8.74090909090909,9.323636363636364,0,12.82,0,105.47727272727273,0,0,0,0,6.992727272727273,0.5827272727272728,0,2.9136363636363636,599.6490909090909,0,145.10454545454544,340.90818181818184,2.330909090909091,149.18272727272728,17.482727272727274,0,131.7018181818182,87.99545454545455,0,1.7481818181818183,8.74090909090909,0.5827272727272728,0,0,0,0,5.244545454545455,0,0,0,1.1654545454545455,3.4963636363636366,8.158181818181818,0,0,0,0,0,0,0,28.554545454545455,0,438.8118181818182,0,0,22.727272727272727,5.827272727272727,0,0,0,0,0,0,0,0.5827272727272728,0,0,0,0,0,0,0,0,13.985454545454544,60.60545454545455,0,0,0,0,8.74090909090909,0,0,0,0.5827272727272728,0,12.237272727272726,0,0,0,0,0.5827272727272728,2.330909090909091,0,0,0,0,0,0,0.5827272727272728,0,0,0.5827272727272728,0,0,2554.197272727273,1.1654545454545455,0,0,0,0
1.1654545454545455,0,0,0,69.34636363636363,0,3.4963636363636366,0.5827272727272728,0,184.15,0,0,0,0,3.496363636363636,2.9136363636363636,0,0,0,0.5827272727272728,1.1654545454545455,0,1.1654545454545455,101.9809090909091,0,0,0,0,2.330909090909091,6.41,0,16.89909090909091,0,0,0,0,0,0,1961.5381818181818,1.1654545454545455,0.5827272727272728,0,0,1.1654545454545455,0.5827272727272728,64.10181818181817,0,0,0,0,0,0,61.18727272727273,0,2.330909090909091,0,0,2.330909090909091,1.7481818181818183,0,0,0,0,0,0,0,0,0,16.89909090909091,0,0,0,0,0,0,3050.7000000000003,6312.354545454546,0,0,0,0,6.41,0,0,0,0,0,1.1654545454545455,0,0,0,6.992727272727272,0.5827272727272728,1.1654545454545455,0,0,0,0,0,0,0,0,0,0.5827272727272728,0,0,3743.590909090909,0,0,0,0,0
0,0,0,0,6.41,0,17.48181818181818,22.143636363636364,0,518.9381818181819,0,0,0,0,0,0,0,0,0,0,0,0,0,5.244545454545454,0,0,0.8745454545454545,0,979.8963636363636,0,0,1.4572727272727273,0,0,0,0,0,0,331.58454545454543,0.5827272727272728,0,0,0,0,0,1.7481818181818183,0,0,0,0,0,0,0,4.079090909090909,0,0,0,10.489090909090908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.731818181818184,4122.376363636364,0,0,1.1654545454545455,0,0,0,0,0.5827272727272728,0,0,1.1654545454545455,0,0,0,0,0,3.496363636363636,0.5827272727272728,0,0,0,0,0,0,0,0,0,0,0,498.25272727272727,0,0,0,0,0
0,0,0,0,65.17166666666667,0,0.5341666666666667,11.751666666666667,0,2.6708333333333334,0,2.1366666666666667,0.5341666666666667,0,0,0,0.5341666666666667,2.670833333333333,0,0,472.7558333333333,0,62.498333333333335,246.25916666666666,30.448333333333334,76.38833333333334,5.8758333333333335,0,136.75166666666667,3.7391666666666663,0,0,10.149166666666666,1.0683333333333334,0.5341666666666667,0,0,0,10.683333333333334,0,2.1366666666666667,0,0,0,4.8075,0,0,0,0,0,0,0,13.888333333333332,0,89.20916666666666,0,0,40.064166666666665,98.29,0,0,0,0,0,0,0,3.205,0,0,0,0,0,0,0,0,6.944166666666667,1558.2258333333334,0,0,0,0,8.0125,0,0,0,0.5341666666666667,0,16.559166666666666,0.5341666666666667,0,0,3.205,5.8758333333333335,0,0.5341666666666667,0,0,0,0,0,0,0,0,1.6025,0,0,1469.0183333333334,5.8758333333333335,0,0,0,0
0,0,0,0,50.7475,0,0,22.435833333333335,0,213.14166666666665,0,8.546666666666667,0,0,0,0,0,1.0683333333333334,0,0,15.490833333333335,0,0.5341666666666667,79.05833333333334,0,0,0.5341666666666667,0,9.080833333333334,0,0,4.8075,6.41,0,0.5341666666666667,0,0,0,347.7575,0,0,0,0.5341666666666667,0,0,1.6025,0,0,0,0,0,0,30.9825,0,8.0125,0,0,0,5.341666666666667,0,0,0,0,0,0,0,0,0,1.0683333333333334,0,0,0,0,0,0,7885.15,13740.92,0,0,0,0,0.5341666666666667,1.0683333333333334,0,0.5341666666666667,0,0,0,0,0,0,0.5341666666666667,0,0,0.5341666666666667,0,0,0,0,0,0,0,0,0,0,0,5113.248333333333,0,0,0,0,0
0,0,0,11.2175,9.080833333333334,0,0,22.969166666666666,0,612.7133333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6708333333333334,0,0,0,0,105.23416666666667,15.491666666666667,0,2.6708333333333334,0,0,0,0,0,0,586.0058333333334,0,0,0,0,0,0,16.025,0,0,0,0,0,0,0,12.285833333333333,0,0,0,2.6708333333333334,0,0,0,0,4.8075,0,0,1.0683333333333334,0,0,0,0,0,0,0,0,0,204.59416666666667,5338.141666666666,0,0,0,0,0,0,2.1366666666666667,1.0683333333333334,0,0,0.5341666666666667,0,0,0,0,0,0.5341666666666667,0,0,0,0,0,0,0,0,0,0,0,0,2573.1858333333334,0,0,10.683333333333334,3.205,0
1.1654545454545455,0,0,0,119.46272727272728,0,0.5827272727272728,19.23,1.1654545454545455,5.827272727272727,0,5.244545454545455,1.1654545454545455,0,0,0,4.661818181818182,2.330909090909091,0,8.158181818181818,354.8954545454545,0,42.54090909090909,255.24363636363637,17.48181818181818,61.18818181818182,12.237272727272728,0,62.35272727272727,2.9136363636363636,0,0,99.65,7.575454545454545,0.5827272727272728,0,0,0,16.316363636363636,0,1.1654545454545455,0,6.992727272727273,0,1.7481818181818183,0,0,0,0,0,0,0,4.079090909090909,0,705.1272727272727,0,0,1.1654545454545455,44.87090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.89181818181818,821.6781818181818,0,0,0,0,6.41,0,0,0,0,0.5827272727272728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7481818181818183,0,0,501.74727272727273,13.985454545454546,0,0,0,0
0,0,0,2.9136363636363636,34.96454545454545,0,0,8.74090909090909,7.575454545454545,156.17636363636365,0,4.661818181818182,0,0,0,0,0,1.1654545454545455,0,0,13.986363636363636,0,0,45.45454545454545,0.5827272727272728,0,0,0,1.7481818181818183,0,0,0,0,0,0,0,0,0,222.61,0,0,0,0,0,0,678.9036363636365,0,0,0,0,0,0,19.23,0,23.310000000000002,0,0,0,0,0,0,0,76.3409090909091,0,0,9.906363636363636,0,0,0.5827272727272728,0,0,0,0,6.41,0,2258.74,6871.795454545454,2.330909090909091,0,0,9.323636363636362,0,1.1654545454545455,0,8.158181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3772.1445454545456,0,0,0,0,0
0,0,0,2.330909090909091,0,0,0,0,0,11.654545454545454,0,0,0,0,0,0,0,0,0,0,0,0,0,2.330909090909091,0,0,0,0,81.00090909090909,0,0,0.5827272727272728,0,0,0,0,0,0,265.1527272727273,0,0,0,0,0,0,11.654545454545454,0,0,16.89909090909091,0,0,0.5827272727272728,0,43.121818181818185,0,0,0,0,0,0,0,0,115.96727272727273,0,0,9.323636363636364,0,0,0,0,0,89.74272727272727,0.5827272727272728,1011.6554545454545,0,4.079090909090909,12.82,175.9909090909091,0,0.5827272727272728,0,0,3.4963636363636366,0,5.244545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.6990909090909,0,0,78.08909090909091,588.5772727272728,0
2.9136363636363636,0,0,0,149.76636363636365,0,0,71.09545454545454,0,10.48909090909091,0,0,3.496363636363636,0,0.5827272727272728,8.158181818181818,5.827272727272727,15.733636363636363,0,25.64,481.93454545454546,0,271.5609090909091,657.9263636363636,83.91545454545454,146.26909090909092,46.61909090909091,0,206.87545454545455,8.158181818181818,0,0.5827272727272728,75.17363636363636,6.41,2.9136363636363636,0,0,0,210.95454545454547,1.1654545454545455,3.496363636363636,0,2.9136363636363636,0,0.5827272727272728,0,0,0,0,0,0,0,132.86636363636364,0,630.5354545454545,0,0,10.489090909090908,13.985454545454544,0,0,0,0,0,0,0,0,0,0.5827272727272728,0,0,0,0,0,0,192.30727272727273,2320.513636363636,0,0,92.65636363636364,0,2.330909090909091,0,0,0,0,1.1654545454545455,1.1654545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.330909090909091,0.5827272727272728,0,680.0690909090908,16.316363636363636,0,0,0,0
0,0,0,5.244545454545455,16.89909090909091,0,0,0.5827272727272728,0,20.97818181818182,0,0.5827272727272728,2.9136363636363636,0,0,0,0,0,0,0.5827272727272728,0.5827272727272728,0,0.5827272727272728,73.42636363636363,0.5827272727272728,0.5827272727272728,1.7481818181818183,0,19.812727272727273,0,0,0,0,0,0,0,0,0,194.63818181818183,5.244545454545455,1.1654545454545455,0,0,0,0,1767.4827272727273,0,0,0.5827272727272728,0,0,0,13.985454545454544,0,4.661818181818182,0,0,0,0,0,0,0,72.26181818181819,0,1.1654545454545455,0,0,0,0,0,0,0,0,0,0,5082.169090909091,6963.870909090909,0.5827272727272728,0,152.68,2.9136363636363636,0.5827272727272728,0,0,10.48909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184.730909090909,0,0,0,0,0
0,0,0,2.6708333333333334,2.670833333333333,0,0,0,0,0,0,0.5341666666666667,0,0,0,0,0,0,0,0,0,0,0,1.0683333333333334,0,0.5341666666666667,0.5341666666666667,0,138.35333333333332,0,0,0,0,0,0,0,0,0,40.5975,0,0,0,0,0,0,127.13666666666667,2.1366666666666667,0,4.273333333333333,0,0,3.7391666666666667,0.5341666666666667,62.498333333333335,0,0,0,0,0,0,0,0,1171.4733333333334,118.05499999999999,0,1.6025,0,0,0,0.5341666666666667,0,2.1366666666666667,0,16.025,0,2.6708333333333334,4.273333333333333,57.6925,0,0,9.080833333333334,0,3.7391666666666667,2.1366666666666667,4.273333333333333,0,0,0,0,0.5341666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.87,0,0,50.21333333333333,354.7008333333333,0
